DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/08/14 17:41:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,2,0.0,0.25,21.9,-3.38415,-47.53628
2025/08/14 17:41:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.0,0.03,14.5,-3.65013,-48.32283
2025/08/14 17:41:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.0,0.03,18.6,-3.65565,-48.33397
2025/08/14 17:41:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,0,0.0,0.74,16.7,-3.06259,-47.38142
2025/08/17 17:58:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,1.0,8.7,-3.19461,-47.59209
2025/08/19 17:39:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,5,0.0,0.6,24.7,-3.65839,-48.45741
2025/08/20 18:17:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,4,0.0,0.32,30.0,-3.22709,-46.81219
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.62,37.9,-3.73463,-48.34729
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,0.53,22.6,-3.26698,-46.91742
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.62,8.5,-3.74409,-48.34596
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,0.49,58.2,-3.05135,-47.01593
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.63,34.5,-3.73613,-48.35759
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.61,13.4,-3.65762,-48.3233
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,0.46,11.6,-3.23859,-46.78515
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,0.62,9.2,-3.65911,-48.3335
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,6,0.0,0.48,21.5,-3.05265,-47.02486
2025/08/22 17:56:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,9,0.0,1.0,9.6,-3.68225,-47.98739
2025/08/24 17:37:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,8,0.0,0.8,74.8,-3.25845,-46.90408
2025/08/24 17:37:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,8,0.0,0.55,37.8,-3.26106,-46.92288
2025/08/24 17:37:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,8,0.0,0.53,91.7,-3.25649,-46.91126
2025/08/25 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,12,0.0,0.68,8.6,-3.73848,-48.35804
2025/08/25 18:13:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,12,0.0,0.67,18.0,-3.65968,-48.32651
